Company Name,Country,Sector,Subsector,Overall ESG RATING,Overall ESG SCORE,Environmental SCORE,Social SCORE,Governance SCORE
GRANITE POINT MORTGAGE TRUST INC,US,Asset Management & Custody Banks,Mortgage REITs,BB,2.9,6.7,2.8,4.9
"GRANVIA, as",SK,Construction & Engineering,Construction & Engineering,A,6,5.1,2.8,6.8
GRAPHIC PACKAGING HOLDING COMPANY,US,Containers & Packaging,Paper Packaging,A,7,5.3,4.5,6.5
"GRAPHIC PACKAGING INTERNATIONAL PARTNERS, LLC",US,Containers & Packaging,Paper Packaging,A,7,5.3,4.5,6.5
"GRAPHIC PACKAGING INTERNATIONAL, LLC",US,Containers & Packaging,Paper Packaging,A,7,5.3,4.5,6.5
GRASIM INDUSTRIES LTD,IN,Construction Materials,Construction Materials,BB,3.9,3.9,3.7,2.8
"GRAY ESCROW II, INC",US,Media & Entertainment,Broadcasting,BBB,5.6,8,5.2,3.9
"GRAY MIDAMERICA TELEVISION, INC",US,Media & Entertainment,Broadcasting,BBB,5.6,8,5.2,3.9
"GRAY TELEVISION, INC",US,Media & Entertainment,Broadcasting,BBB,5.6,8,5.2,3.9
"GREAT AMERICAN FINANCIAL RESOURCES, INC",US,Property & Casualty Insurance,Property & Casualty Insurance,B,2.6,1.4,4.1,4.3
GREAT LAKES DREDGE & DOCK CORPORATION,US,Construction & Engineering,Construction & Engineering,A,6.7,2.6,3.2,6.3
GREAT LAKES POWER LTD,CA,Utilities,Renewable Electricity,BBB,5.6,6.7,5.6,4.4
GREAT PLACES HOUSING GROUP LIMITED,GB,Real Estate Management & Services,,BBB,5.3,3.9,5.3,6.6
GREAT PORTLAND ESTATES P L C,GB,Real Estate Management & Services,Office REITs,AAA,9.5,7.5,5.7,7.8
"GREAT SOUTHERN BANCORP, INC",US,Banks,Regional Banks,B,2.4,1.7,3.5,2.8
GREAT-WEST LIFE & ANNUITY INSURANCE COMPANY,US,Life & Health Insurance,Life & Health Insurance,A,6.6,8.2,5.3,4.9
GREAT-WEST LIFECO FINANCE (DELAWARE) LP,US,Life & Health Insurance,Life & Health Insurance,A,6.6,8.2,5.3,4.9
"GREAT-WEST LIFECO FINANCE 2018, LP",US,Life & Health Insurance,Life & Health Insurance,A,6.6,8.2,5.3,4.9
GREAT-WEST LIFECO INC,CA,Life & Health Insurance,Life & Health Insurance,A,6.6,8.2,5.3,4.9
